Method,Run-time ratio (s),iteration,line search,centroid error,,,,,,,,,,,,
Gauss Newton (Improved initial guess),1.00 ,3.18 ,0.00 ,2.55E-09,,,,,,,,,,,,
Gauss Newton ,1.16 ,4.34 ,0.00 ,7.18E-06,,,,,,,,,,,,
BFGS with numerical gradient,4.20 ,6.69 ,13.28 ,2.55E-09,,,,,,,,,,,,
BFGS with analytic gradient ,966.19 ,6.72 ,14.52 ,3.50E-09,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Method,Run-time ratio (s),iteration,line search,centroid error,,,,,,,,,,,,
Gauss Newton (Improved initial guess),1.00 ,3.10 ,0.00 ,2.04E-09,,,,,,,,,,,,
Gauss Newton ,1.05 ,3.27 ,0.00 ,7.00E-07,,,,,,,,,,,,
BFGS with numerical gradient,3.96 ,6.32 ,12.49 ,2.81E-09,,,,,,,,,,,,
BFGS with analytic gradient ,881.37 ,6.32 ,12.49 ,2.85E-09,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Method,Run-time ratio (s),iteration,line search,centroid error,,,,,,,,,,,,
Gauss Newton (Improved initial guess),1.00 ,2.40 ,0.00 ,1.98E-09,,,,,,,,,,,,
Gauss Newton ,1.00 ,2.40 ,0.00 ,1.98E-09,,,,,,,,,,,,
BFGS with numerical gradient,4.10 ,5.70 ,10.86 ,2.41E-09,,,,,,,,,,,,
BFGS with analytic gradient ,820.99 ,5.70 ,10.86 ,2.42E-09,,,,,,,,,,,,
