,,initial_guess,cpu_time,num_iter1,num_iter2,angle_error,centroid_error
extreme,GN, ,0.09899599999999997,3.18405,0.0,4.286674903930532e-15,2.552598072926154e-09
extreme,BFGS_num, ,95.652586,6.71862,14.51969,1.257404608212553e-13,3.498057374854285e-09
extreme,BFGS_ana, ,0.416248,6.69491,13.28435,2.019057410151959e-13,2.551983288298959e-09
extreme,GN_old,old,0.115287,4.34207,0.0,1.769470858725697e-08,7.17598567580712e-06
extreme,BFGS_num_old,old,103.260843,7.14457,16.32459,1.257404608212553e-13,3.680530864956788e-09
extreme,BFGS_ana_old,old,0.445468,7.12058,15.08992,2.019057410151959e-08,2.736136112556691e-09
linear,GN, ,0.109201,3.10372,0.0,6.692239709450167e-09,2.036865400871762e-09
linear,BFGS_num, ,96.069684,6.32153,12.49048,1.11510254137722e-08,2.850354849001325e-09
linear,BFGS_ana, ,0.431708,6.32156,12.49076,1.05042978004846e-08,2.809177986323802e-09
linear,GN_old,old,0.114424,3.26855,0.0,2.44804176929847e-13,7.000087287198593e-06
linear,BFGS_num_old,old,100.267147,6.43482,12.97012,1.50582615265904e-08,2.890786548058388e-09
linear,BFGS_ana_old,old,0.427662,6.29313,12.16986,1.72048220115073e-09,2.284442401898901e-09
exponential,GN, ,0.103028,2.40359,0.0,1.071365218763276e-14,1.982330744907876e-09
exponential,BFGS_num, ,84.585275,5.69971,10.85868,2.132465315440868e-10,2.416452549540912e-09
exponential,BFGS_ana, ,0.422287,5.69968,10.85865,2.128264231515686e-10,2.407579096346257e-09
exponential,GN_old,old,0.102545,2.4036,0.0,1.071365218763276e-14,1.982329959982626e-09
exponential,BFGS_num_old,old,81.22421,5.69975,10.85866,2.132465315440868e-10,2.416461648506868e-09
exponential,BFGS_ana_old,old,0.421157,5.38376,10.43183,1.577744207503784e-08,2.078119142490953e-09
